student_id,student_name,age,nationality,gender,education,school,field_of_interest,course_id,course_name,session,course_rating,difficulty_level,modes_of_learning,course_recommended
2135,student 23,14,United Arab Emirates,Male,High school/College (14+),Al Manar International school,Music,2,Python Programming,8,3,Proficiency,Hybrid,Robotics Innovative Learning
2435,student 24,14,Kuwait,Female,High school/College (14+),Oaktree Primary School,Music,7,Virtual Reality,48,1,Proficiency,In-person,App Development
1692,student 26,14,Cook Islands,Female,High school/College (14+),Al Diyafah High School,Art,0,Robotics Innovative Learning,96,4,Beginner,Hybrid,Coding for kids
1901,student 27,14,Nigeria,Male,High school/College (14+),philippine School,Art,8,Drone Technology,48,5,Proficiency,Hybrid,Game Development
1925,student 28,14,Syria,Female,High school/College (14+),"DPS, Doha",Technology,0,Robotics Innovative Learning,24,4,Intermediate,In-person,Coding for kids
2464,student 29,6,Malaysia,Male,Elementary school (5-9),Our Own High School,Art,3,Artificial Intelligence,24,3,Beginner,In-person,3D Designing
898,student 30,14,India,Female,High school/College (14+),Akg public school,Sports,1,Robotics,24,5,Beginner,Hybrid,App Development
2806,student 31,14,Palestine,Male,High school/College (14+),AlRaja School,Technology,0,Robotics Innovative Learning,24,1,Proficiency,In-person,3D Designing
1748,student 32,14,Cook Islands,Female,High school/College (14+),St marys icse,Technology,0,Robotics Innovative Learning,48,4,Intermediate,In-person,App Development
613,student 33,14,New Zealand,Male,High school/College (14+),GEMS Modern Academy,Science,3,Artificial Intelligence,48,5,Proficiency,Hybrid,Robotics Innovative Learning
1029,student 34,14,Malaysia,Male,High school/College (14+),Manipal Academy of Higher Education,Technology,5,Game and App Development,48,5,Applied Tech,Online,Game Development
2652,student 35,14,USA,Male,High school/College (14+),Repton SchoolGems Founders,Sports,9,Artificial Intelligence for Non Programmers,24,5,Applied Tech,Hybrid,App Development
2884,student 36,11,Venezuela,Male,Middle school (10-13),GEMS Winchester School,Science,0,Robotics Innovative Learning,48,1,Applied Tech,Hybrid,AI
136,student 38,14,Ireland,Female,High school/College (14+),Regent International Private School,Science,3,Artificial Intelligence,48,5,Intermediate,Online,Coding for kids
2098,student 39,14,China,Female,High school/College (14+),Oaktree Primary School,Sports,3,Artificial Intelligence,48,4,Beginner,In-person,Graphics Designing
2366,student 40,14,Uruguay,Male,High school/College (14+),Cambridge International School Private,Mathematics,1,Robotics,48,4,Proficiency,Hybrid,3D Designing
783,student 41,14,Korea,Female,High school/College (14+),GEMS Wellington International School,Technology,5,Game and App Development,48,1,Beginner,Online,Technology Innovative Learning
764,student 42,14,Cameroon,Female,High school/College (14+),Dubai English Speaking School,Mathematics,10,LEGO Robotics,48,3,Beginner,Online,Coding for kids
3,student 44,14,Bahrain,Male,High school/College (14+),Gravi,Music,0,Robotics Innovative Learning,48,4,Applied Tech,In-person,Graphics Designing
890,student 45,14,Uruguay,Female,High school/College (14+),GEMS International School- Al Khail,Mathematics,1,Robotics,48,1,Applied Tech,Online,App Development
618,student 46,14,Armenia,Male,High school/College (14+),Wesgreen International School,Sports,11,VEX Robotics,24,5,Proficiency,Hybrid,Robotics Innovative Learning
2527,student 47,12,UAE,Female,Middle school (10-13),GEMOOSH,Music,3,Artificial Intelligence,48,1,Proficiency,In-person,AI
1428,student 48,14,Srilanka,Female,High school/College (14+),MAHE Dubai,Science,12,First LEGO League,24,5,Beginner,In-person,App Development
2112,student 49,14,Ireland,Female,High school/College (14+),"Amity School, Sharjah",Mathematics,2,Python Programming,96,4,Applied Tech,Hybrid,AI
284,student 50,14,Palestine,Male,High school/College (14+),Sharjah Private International School,Music,13,Young App Developer,96,4,Beginner,In-person,3D Designing
1394,student 51,7,Uruguay,Male,Elementary school (5-9),GEMS Winchester School,Sports,5,Game and App Development,24,4,Proficiency,Hybrid,App Development
2993,student 52,14,Pakistan,Female,High school/College (14+),Carmel School Kuwait,Art,14,Scratch Coding,8,1,Proficiency,In-person,Python
807,student 53,14,India,Male,High school/College (14+),Ambassador International Academy,Art,15,Data Analysis with Python,8,5,Beginner,In-person,Coding for kids
2221,student 54,14,Ireland,Female,High school/College (14+),"GD Goenka Public School, Agra, India",Science,16,Game Development with Unity,96,5,Applied Tech,Hybrid,Python
275,student 55,14,Malaysia,Male,High school/College (14+),Al Manar International school,Sports,3,Artificial Intelligence,24,5,Intermediate,In-person,AI
2241,student 56,14,IndiaSpain,Male,High school/College (14+),University of Wollongong,Sports,17,3D Designing & Modelling,48,5,Proficiency,Hybrid,Game Development
2979,student 57,14,Armenia,Male,High school/College (14+),Victory Heights Primary School,Science,17,3D Designing & Modelling,48,4,Intermediate,In-person,3D Designing
438,student 58,14,Poland,Male,High school/College (14+),Dubai English Speaking private college,Mathematics,2,Python Programming,24,1,Proficiency,In-person,AI
1739,student 59,14,Turkey,Male,High school/College (14+),Mayoor Private school  abudhabi,Technology,0,Robotics Innovative Learning,24,5,Applied Tech,Online,Technology Innovative Learning
274,student 60,14,Bosnia and Herzegovina,Female,High school/College (14+),Jumeirah English Speaking School (Br),Science,12,First LEGO League,24,4,Proficiency,Online,3D Designing
1609,student 61,14,Korea,Female,High school/College (14+),Al Watania,Art,7,Virtual Reality,96,4,Intermediate,Hybrid,App Development
1550,student 62,14,India,Female,High school/College (14+),Cambridge International School Private,Science,12,First LEGO League,96,5,Intermediate,Hybrid,Technology Innovative Learning
619,student 63,8,Saudi Arabia,Male,Elementary school (5-9),Apple International School,Sports,5,Game and App Development,24,5,Proficiency,Hybrid,Technology Innovative Learning
18,student 64,14,Poland,Female,High school/College (14+),Advanced Learning Schools Riyadh,Music,6,Graphic Designing & Animation,24,5,Applied Tech,In-person,Python
2117,student 65,6,USA,Male,Elementary school (5-9),International school of Choueifat,Sports,4,Technology Innovative Learning,96,3,Beginner,Online,Game Development
489,student 66,14,Armenia,Male,High school/College (14+),BISES,Science,12,First LEGO League,96,5,Applied Tech,In-person,AI
2524,student 67,7,Iran (Islamic Republic of),Female,Elementary school (5-9),Al Naseem International School,Sports,0,Robotics Innovative Learning,24,3,Applied Tech,In-person,Coding for kids
2004,student 68,14,Srilanka,Female,High school/College (14+),GEMS Wellington International School,Technology,7,Virtual Reality,48,3,Applied Tech,Online,3D Designing
2742,student 69,14,Canada,Female,High school/College (14+),Belvedere British School,Art,0,Robotics Innovative Learning,96,4,Proficiency,In-person,Technology Innovative Learning
2895,student 70,14,India,Female,High school/College (14+),Manipal Academy of Higher Education,Science,0,Robotics Innovative Learning,48,4,Intermediate,Online,Coding for kids
14,student 71,14,Singapore,Female,High school/College (14+),Al Basateen Private Nursery Hatta branch,Science,0,Robotics Innovative Learning,48,5,Proficiency,Online,Game Development
1210,student 72,14,Pakistan,Female,High school/College (14+),Alhussan International School,Technology,1,Robotics,96,5,Proficiency,Hybrid,AI
1485,student 73,14,Egypt,Male,High school/College (14+),Akg public school,Music,3,Artificial Intelligence,48,4,Intermediate,Online,Game Development
2411,student 74,14,Uganda,Male,High school/College (14+),DAA,Mathematics,3,Artificial Intelligence,48,4,Proficiency,Online,AI
132,student 75,14,Cook Islands,Female,High school/College (14+),GEMS Wellington Academy,Music,3,Artificial Intelligence,48,1,Beginner,Hybrid,Graphics Designing
2631,student 76,14,Bosnia and Herzegovina,Female,High school/College (14+),Ambersrdm,Sports,10,LEGO Robotics,48,5,Proficiency,Online,AI
1668,student 77,14,Nigeria,Male,High school/College (14+),Crescent English School,Technology,1,Robotics,8,5,Beginner,In-person,AI
1237,student 78,14,China,Female,High school/College (14+),"DPS, Doha",Art,0,Robotics Innovative Learning,48,4,Proficiency,Online,Robotics Innovative Learning
395,student 79,14,Nigeria,Female,High school/College (14+),Millennium Sharjah,Music,3,Artificial Intelligence,48,3,Intermediate,In-person,Robotics Innovative Learning
1240,student 80,14,Nigeria,Female,High school/College (14+),"Camp, Amity ( Al Nadha)",Sports,2,Python Programming,48,5,Beginner,In-person,Coding for kids
496,student 81,6,China,Female,Elementary school (5-9),Al Khaleej National School,Sports,5,Game and App Development,96,3,Applied Tech,In-person,3D Designing
644,student 82,14,Cuba,Male,High school/College (14+),Primus Private School LLC,Mathematics,3,Artificial Intelligence,8,5,Proficiency,Hybrid,Graphics Designing
2922,student 83,14,Canada,Female,High school/College (14+),Al Maaref Private School (LLC),Mathematics,3,Artificial Intelligence,48,4,Applied Tech,Online,AI
1201,student 84,13,Cameroon,Male,Middle school (10-13),Cardiff international school / Qatar Finland I fee atop all school,Science,3,Artificial Intelligence,48,1,Applied Tech,Hybrid,Graphics Designing
1836,student 85,14,Iraq,Male,High school/College (14+),Al majd international school,Science,3,Artificial Intelligence,24,4,Beginner,Hybrid,AI
2085,student 86,14,Switzerland,Female,High school/College (14+),Merryland International School,Technology,0,Robotics Innovative Learning,24,5,Proficiency,Online,Technology Innovative Learning
1798,student 87,14,Srilanka,Female,High school/College (14+),Regent International Private School,Sports,0,Robotics Innovative Learning,96,1,Beginner,In-person,Technology Innovative Learning
840,student 88,14,Iran (Islamic Republic of),Female,High school/College (14+),Ambassador International Academy,Science,3,Artificial Intelligence,48,1,Intermediate,Hybrid,Robotics Innovative Learning
2087,student 89,14,India,Female,High school/College (14+),DPS,Mathematics,3,Artificial Intelligence,8,3,Intermediate,Online,Graphics Designing
1119,student 90,14,Switzerland,Female,High school/College (14+),GEMS Wellington Academy (Branch),Sports,0,Robotics Innovative Learning,96,1,Beginner,In-person,Game Development
2787,student 91,14,USA,Female,High school/College (14+),Carmel School Kuwait,Music,17,3D Designing & Modelling,48,5,Applied Tech,Hybrid,Robotics Innovative Learning
1195,student 92,13,Egypt,Male,Middle school (10-13),Ow qusm high school,Mathematics,7,Virtual Reality,24,1,Proficiency,Online,3D Designing
2901,student 93,14,Qatar,Female,High school/College (14+),Al Adab Iranian Private School for Boys,Science,3,Artificial Intelligence,48,1,Applied Tech,In-person,AI
2144,student 94,14,Saudi Arabia,Male,High school/College (14+),Al Manar International school,Technology,18,Graphic Designing,48,5,Proficiency,Online,AI
1651,student 95,14,United Arab Emirates,Male,High school/College (14+),Saad ebn abi waqas,Sports,6,Graphic Designing & Animation,24,3,Proficiency,In-person,Robotics Innovative Learning
1101,student 96,8,India,Male,Elementary school (5-9),JSS PRIVATE SCHOOL LLC,Art,5,Game and App Development,24,1,Beginner,In-person,Technology Innovative Learning
2363,student 97,14,Cuba,Female,High school/College (14+),LLfp,Music,19,Young Coder,8,4,Proficiency,Hybrid,AI
2151,student 98,8,Iran (Islamic Republic of),Male,Elementary school (5-9),Khawla bent al azwar,Art,0,Robotics Innovative Learning,8,1,Applied Tech,Hybrid,Game Development
939,student 99,14,Oman,Male,High school/College (14+),Arcadia School,Art,1,Robotics,24,4,Applied Tech,Online,Robotics Innovative Learning
2455,student 100,6,India,Male,Elementary school (5-9),Al Ain English Speaking School,Music,0,Robotics Innovative Learning,8,4,Applied Tech,Hybrid,AI
2811,student 101,14,United Arab Emirates,Male,High school/College (14+),Dubai College,Music,20,Young Game Developer,48,3,Applied Tech,In-person,App Development
1720,student 102,7,United Arab Emirates,Female,Elementary school (5-9),Al Adab Iranian Private School for Boys,Technology,0,Robotics Innovative Learning,48,4,Beginner,Online,Robotics Innovative Learning
227,student 103,14,Armenia,Male,High school/College (14+),Dubai Scholars Private School,Technology,18,Graphic Designing,24,3,Applied Tech,Online,Robotics Innovative Learning
916,student 104,14,Cuba,Female,High school/College (14+),GEMS Westminster,Technology,3,Artificial Intelligence,48,4,Intermediate,In-person,Graphics Designing
1846,student 105,14,India,Male,High school/College (14+),Al Diyafah High School,Sports,21,Technology Onsite,48,4,Intermediate,Online,Python
2245,student 106,12,United Arab Emirates,Female,Middle school (10-13),Dubai Scholars Private School,Science,3,Artificial Intelligence,48,4,Proficiency,Hybrid,App Development
447,student 107,14,Canada,Female,High school/College (14+),ST laurence school Sallins,Mathematics,3,Artificial Intelligence,48,1,Proficiency,Online,AI
819,student 108,8,India,Female,Elementary school (5-9),GEMS Wellington Academy,Technology,5,Game and App Development,96,4,Applied Tech,Online,3D Designing
1477,student 109,6,IndiaSpain,Male,Elementary school (5-9),Al Diyafah High School,Sports,0,Robotics Innovative Learning,48,4,Proficiency,Online,Technology Innovative Learning
2468,student 110,14,Pakistan,Female,High school/College (14+),MAHE Dubai,Sports,9,Artificial Intelligence for Non Programmers,24,5,Proficiency,In-person,Game Development
408,student 111,8,United Arab Emirates,Male,Elementary school (5-9),Apeejay school,Science,1,Robotics,48,4,Beginner,Online,AI
766,student 112,5,Korea,Female,Elementary school (5-9),GEMS,Sports,0,Robotics Innovative Learning,24,1,Intermediate,Online,3D Designing
2993,student 113,14,Iraq,Female,High school/College (14+),Ambassador International Academy,Science,9,Artificial Intelligence for Non Programmers,48,3,Beginner,Hybrid,AI
1814,student 114,14,Pakistan,Male,High school/College (14+),JSS PRIVATE SCHOOL,Technology,1,Robotics,48,1,Beginner,In-person,3D Designing
410,student 115,5,Malaysia,Male,Elementary school (5-9),Arcadia School,Sports,1,Robotics,8,4,Applied Tech,Hybrid,Graphics Designing
263,student 116,6,Armenia,Male,Elementary school (5-9),Arcadia School,Music,1,Robotics,48,4,Intermediate,Hybrid,App Development
1702,student 117,10,UK,Male,Middle school (10-13),Arcadia School,Sports,1,Robotics,24,4,Proficiency,Online,Technology Innovative Learning
1895,student 118,6,Canada,Female,Elementary school (5-9),Arcadia School,Technology,1,Robotics,96,4,Intermediate,Online,3D Designing
1653,student 119,9,United Arab Emirates,Male,Elementary school (5-9),Gulf Asian English school,Science,0,Robotics Innovative Learning,24,3,Beginner,Hybrid,Game Development
1211,student 120,6,Pakistan,Female,Elementary school (5-9),Arcadia School,Art,1,Robotics,48,1,Proficiency,Hybrid,AI
1759,student 121,5,Uruguay,Female,Elementary school (5-9),Arcadia School,Music,1,Robotics,48,4,Proficiency,Online,Graphics Designing
1844,student 122,9,Afghanistan,Female,Elementary school (5-9),Arcadia School,Art,1,Robotics,24,3,Intermediate,In-person,Coding for kids
2335,student 123,6,Qatar,Female,Elementary school (5-9),Arcadia School,Music,1,Robotics,24,1,Intermediate,Online,Game Development
890,student 124,8,Pakistan,Female,Elementary school (5-9),Arcadia School,Technology,1,Robotics,24,1,Proficiency,In-person,Robotics Innovative Learning
2627,student 125,6,Nigeria,Female,Elementary school (5-9),Arcadia School,Music,1,Robotics,24,3,Intermediate,Hybrid,Python
244,student 126,6,UK,Female,Elementary school (5-9),Arcadia School,Mathematics,1,Robotics,96,1,Beginner,Online,Python
2969,student 127,5,Ireland,Male,Elementary school (5-9),Arcadia School,Science,1,Robotics,24,4,Intermediate,Online,3D Designing
440,student 128,5,Korea,Female,Elementary school (5-9),Arcadia School,Music,1,Robotics,48,3,Beginner,Online,3D Designing
2322,student 129,9,Bahrain,Female,Elementary school (5-9),Arcadia School,Mathematics,1,Robotics,24,4,Applied Tech,In-person,Technology Innovative Learning
814,student 130,6,Canada,Female,Elementary school (5-9),Arcadia School,Mathematics,1,Robotics,48,4,Proficiency,Online,Graphics Designing
1510,student 131,12,United Arab Emirates,Male,Middle school (10-13),Emirates International School (Meadows),Science,0,Robotics Innovative Learning,48,4,Proficiency,Online,Game Development
2138,student 132,6,United Arab Emirates,Female,Elementary school (5-9),Dubai International Academy,Science,2,Python Programming,24,4,Proficiency,Online,Python
430,student 133,7,United Arab Emirates,Female,Elementary school (5-9),Suncity school,Art,22,Data Science,48,5,Beginner,Online,Coding for kids
804,student 134,5,United Arab Emirates,Male,Elementary school (5-9),Gems Wellington Academy Silicon Oasis,Technology,2,Python Programming,48,4,Applied Tech,In-person,Graphics Designing
1041,student 135,14,Canada,Female,High school/College (14+),Al Ansar International School,Music,1,Robotics,96,5,Intermediate,Hybrid,Graphics Designing
1549,student 136,5,United Arab Emirates,Female,Elementary school (5-9),JSS PRIVATE SCHOOL,Technology,0,Robotics Innovative Learning,48,4,Applied Tech,Hybrid,Coding for kids
2670,student 137,16,Bahrain,Female,High school/College (14+),GEMS Founders School,Music,7,Virtual Reality,8,1,Proficiency,In-person,Game Development
1092,student 138,14,Jordan,Male,High school/College (14+),GEMS United School,Mathematics,0,Robotics Innovative Learning,48,4,Beginner,Online,AI
2269,student 139,14,Srilanka,Male,High school/College (14+),"Millennium School, Shj",Sports,3,Artificial Intelligence,8,4,Intermediate,Hybrid,Robotics Innovative Learning
789,student 140,14,Canada,Female,High school/College (14+),Cambridge International School Private,Mathematics,1,Robotics,48,1,Applied Tech,In-person,3D Designing
2187,student 141,14,India,Male,High school/College (14+),Indian High School,Music,1,Robotics,48,1,Intermediate,In-person,AI
2825,student 142,13,United Arab Emirates,Female,Middle school (10-13),"GEMS Cambridge School, Sharjah",Mathematics,23,Virtual Robotics,48,5,Beginner,Hybrid,AI
474,student 143,12,United Arab Emirates,Female,Middle school (10-13),"GEMS Cambridge School, Sharjah",Science,23,Virtual Robotics,24,4,Beginner,Hybrid,Technology Innovative Learning
2761,student 144,14,United Arab Emirates,Male,High school/College (14+),Private,Science,10,LEGO Robotics,48,3,Applied Tech,In-person,Game Development
1439,student 145,14,Venezuela,Female,High school/College (14+),Father Agnel School,Music,2,Python Programming,48,3,Applied Tech,Online,AI
1933,student 146,14,Oman,Male,High school/College (14+),Reach British School,Technology,2,Python Programming,48,5,Intermediate,Online,Game Development
1683,student 147,6,Turkey,Female,Elementary school (5-9),Summit International School,Technology,4,Technology Innovative Learning,48,4,Beginner,Hybrid,AI
1374,student 148,14,Venezuela,Male,High school/College (14+),AL mawakeb school,Technology,3,Artificial Intelligence,96,3,Beginner,Online,Coding for kids
2936,student 149,14,Korea,Female,High school/College (14+),Al Ain English Speaking School,Science,8,Drone Technology,48,4,Applied Tech,Hybrid,AI
1629,student 150,14,Nigeria,Male,High school/College (14+),Vibgyor,Art,1,Robotics,24,4,Beginner,Online,Python
557,student 151,14,Kuwait,Male,High school/College (14+),Dubai Scholars Private School,Music,0,Robotics Innovative Learning,96,5,Beginner,In-person,App Development
1082,student 152,14,Palestine,Female,High school/College (14+),Army Public School,Art,2,Python Programming,24,5,Beginner,Hybrid,Python
2432,student 153,5,Iraq,Female,Elementary school (5-9),Shaufa International School,Sports,24,Coding For Kids,24,1,Proficiency,Hybrid,3D Designing
769,student 154,14,Cameroon,Male,High school/College (14+),Raffles World Academy,Technology,0,Robotics Innovative Learning,48,1,Beginner,Online,App Development
1610,student 155,6,United Arab Emirates,Male,Elementary school (5-9),Diyafah International School Abu Dhabi,Technology,0,Robotics Innovative Learning,48,4,Proficiency,In-person,Graphics Designing
1769,student 156,14,Uganda,Male,High school/College (14+),Al Basateen Private Nursery Hatta branch,Mathematics,8,Drone Technology,48,3,Applied Tech,In-person,AI
695,student 157,14,Oman,Male,High school/College (14+),GEMS Millennium Sharjah,Mathematics,0,Robotics Innovative Learning,48,4,Applied Tech,Online,Coding for kids
1859,student 158,14,United Arab Emirates,Female,High school/College (14+),Sharjah Indian school,Art,12,First LEGO League,24,1,Applied Tech,Online,Python
1414,student 159,14,Kuwait,Male,High school/College (14+),Cambridge International School,Science,17,3D Designing & Modelling,48,5,Proficiency,Hybrid,Graphics Designing
1460,student 160,9,India,Male,Elementary school (5-9),direct call,Music,21,Technology Onsite,24,3,Beginner,In-person,AI
347,student 161,6,China,Male,Elementary school (5-9),direct call,Science,4,Technology Innovative Learning,48,5,Intermediate,Hybrid,Robotics Innovative Learning
2083,student 162,14,Jordan,Female,High school/College (14+),AL mawakeb school,Technology,25,Artificial Intelligence and Machine Learning,24,5,Applied Tech,In-person,Game Development
452,student 163,14,Syria,Female,High school/College (14+),Merryland International School,Music,0,Robotics Innovative Learning,48,5,Proficiency,Online,Technology Innovative Learning
863,student 164,14,Russia,Male,High school/College (14+),The university of texas at arlington,Mathematics,0,Robotics Innovative Learning,24,4,Intermediate,In-person,AI
1999,student 165,14,Pakistan,Female,High school/College (14+),Kings College Doha,Art,0,Robotics Innovative Learning,96,5,Beginner,Online,AI
2743,student 166,6,United Arab Emirates,Female,Elementary school (5-9),Repton Dubai,Art,0,Robotics Innovative Learning,24,3,Intermediate,Online,Technology Innovative Learning
1102,student 167,14,United Arab Emirates,Female,High school/College (14+),Kido,Art,0,Robotics Innovative Learning,24,4,Proficiency,In-person,Graphics Designing
213,student 168,10,United Arab Emirates,Male,Middle school (10-13),Cardiff international school / Qatar Finland I fee atop all school,Science,2,Python Programming,8,4,Intermediate,Online,Graphics Designing
2434,student 169,11,UK,Female,Middle school (10-13),GEMS,Music,2,Python Programming,48,3,Applied Tech,In-person,Robotics Innovative Learning
1039,student 170,5,UAE,Male,Elementary school (5-9),gems our own english high school,Technology,17,3D Designing & Modelling,48,3,Proficiency,In-person,Robotics Innovative Learning
1908,student 171,14,Nigeria,Male,High school/College (14+),Dubai International Academy,Science,9,Artificial Intelligence for Non Programmers,8,4,Proficiency,Online,AI
149,student 172,7,United Arab Emirates,Female,Elementary school (5-9),DPS,Sports,0,Robotics Innovative Learning,48,5,Applied Tech,In-person,Coding for kids
2217,student 173,14,United States,Male,High school/College (14+),Nadeen International,Mathematics,0,Robotics Innovative Learning,24,3,Intermediate,Online,AI
2491,student 174,14,Russia,Female,High school/College (14+),Al majd international school,Art,0,Robotics Innovative Learning,48,1,Proficiency,Hybrid,App Development
797,student 176,14,Afghanistan,Female,High school/College (14+),OOB sharjah,Sports,23,Virtual Robotics,48,3,Beginner,In-person,App Development
2003,student 177,14,United States,Male,High school/College (14+),Chinese school Dubai,Music,3,Artificial Intelligence,48,1,Applied Tech,Online,App Development
2771,student 180,14,Cuba,Male,High school/College (14+),GEMS Wellington Academy,Technology,2,Python Programming,8,5,Proficiency,Online,Graphics Designing
515,student 181,14,India,Male,High school/College (14+),School Inb Al Haitham government school,Sports,0,Robotics Innovative Learning,24,4,Applied Tech,In-person,Technology Innovative Learning
2624,student 182,14,Bahrain,Female,High school/College (14+),Hartland International School,Mathematics,1,Robotics,96,4,Applied Tech,Hybrid,Python
2930,student 183,14,Canada,Male,High school/College (14+),St marys icse,Sports,2,Python Programming,48,4,Proficiency,Online,AI
1240,student 184,14,China,Female,High school/College (14+),GEHS,Mathematics,24,Coding For Kids,24,3,Applied Tech,Online,App Development
146,student 185,14,Qatar,Female,High school/College (14+),Lusk Community College,Mathematics,0,Robotics Innovative Learning,24,1,Applied Tech,In-person,Game Development
1275,student 186,14,United Arab Emirates,Female,High school/College (14+),IIS,Technology,9,Artificial Intelligence for Non Programmers,96,4,Beginner,Hybrid,App Development
478,student 187,14,China,Male,High school/College (14+),Lotus Valley School Gurgaon,Science,1,Robotics,48,3,Beginner,Online,AI
737,student 188,14,Cook Islands,Male,High school/College (14+),The Alpha School LLC,Mathematics,12,First LEGO League,8,4,Intermediate,In-person,Robotics Innovative Learning
2123,student 189,14,Ukraine,Female,High school/College (14+),Arcadia High School,Sports,1,Robotics,24,5,Proficiency,In-person,3D Designing
1823,student 190,14,Canada,Female,High school/College (14+),Bahrain Indian School,Science,0,Robotics Innovative Learning,8,3,Proficiency,Hybrid,App Development
669,student 191,14,Iraq,Male,High school/College (14+),Al majd international school,Music,0,Robotics Innovative Learning,48,4,Intermediate,Online,Robotics Innovative Learning
1107,student 192,14,Cameroon,Male,High school/College (14+),Gravi,Science,1,Robotics,48,5,Beginner,Hybrid,AI
999,student 193,14,United Arab Emirates,Male,High school/College (14+),Jumeirah English Speaking School,Science,12,First LEGO League,48,1,Applied Tech,Hybrid,Game Development
1426,student 194,15,Canada,Male,High school/College (14+),Shaufa International School,Science,2,Python Programming,8,4,Proficiency,Online,Graphics Designing
1931,student 195,14,Switzerland,Male,High school/College (14+),GEMOOSH,Technology,0,Robotics Innovative Learning,48,5,Intermediate,In-person,Game Development
654,student 196,9,India,Female,Elementary school (5-9),Repton Dubai,Technology,21,Technology Onsite,48,4,Beginner,In-person,Robotics Innovative Learning
2642,student 197,12,India,Female,Middle school (10-13),Repton Dubai,Mathematics,21,Technology Onsite,24,5,Applied Tech,Hybrid,App Development
2934,student 198,14,Cameroon,Male,High school/College (14+),"NES International school, mulund west",Art,0,Robotics Innovative Learning,96,5,Intermediate,Online,App Development
2842,student 199,14,Canada,Male,High school/College (14+),Millennium School SHJ,Music,0,Robotics Innovative Learning,8,4,Applied Tech,In-person,Coding for kids
656,student 201,14,Kuwait,Male,High school/College (14+),British school of Bahrain,Sports,1,Robotics,48,4,Proficiency,Online,Robotics Innovative Learning
365,student 202,14,Oman,Female,High school/College (14+),Not Specified,Music,26,Internet of Things,8,5,Intermediate,Hybrid,Technology Innovative Learning
2171,student 203,14,Switzerland,Female,High school/College (14+),Facebook,Technology,2,Python Programming,24,4,Applied Tech,In-person,Game Development
2060,student 204,14,Kuwait,Female,High school/College (14+),Nadeen International school,Technology,10,LEGO Robotics,48,1,Applied Tech,In-person,App Development
