Student Name,Course Selected,Nationality,School,Demographic Data,Age,Modes of Learning,Session,Field of Interest,Difficulty Level,Course Recommended,Course Rating
student 39,Artificial Intelligence,China,Oaktree Primary School,Female,10,In-person,48,Sports,Beginner,Graphics Designing,4
student 40,Spring Camps,Uruguay,Cambridge International School Private,Male,10,Hybrid,48,Mathematics,Proficiency,3D Designing,4
student 41,Gulf News - Game and App Development,Korea,GEMS Wellington International School,Female,10,Online,48,Technology,Beginner,Technology Innovative Learning,1
student 42,LEGO Robotics,Cameroon,Dubai English Speaking School,Female,10,Online,48,Mathematics,Beginner,Coding for kids,3
student 43,World Robot Olympiad (WRO),Russia,Al Arqm Private School,Male,10,Online,24,Sports,Applied Tech,AI,5
student 44,Robotics Innovative Learning,Bahrain,Gravi,Male,10,In-person,48,Music,Applied Tech,Graphics Designing,4
student 45,Space STEM,Uruguay,GEMS International School- Al Khail,Female,10,Online,48,Mathematics,Applied Tech,App Development,1
student 46,VEX Robotics,Armenia,Wesgreen International School,Male,10,Hybrid,24,Sports,Proficiency,Robotics Innovative Learning,5
student 47,Gulf News - Artificial Intelligence,UAE,GEMOOSH,Female,8,In-person,48,Music,Proficiency,AI,1
student 48,FIRST LEGO LEAGUE (FLL - 2022/23),Srilanka,MAHE Dubai,Female,10,In-person,24,Science,Beginner,App Development,5
student 49,Python Coding,Ireland,"Amity School, Sharjah",Female,10,Hybrid,96,Mathematics,Applied Tech,AI,4
student 50,Young App Developer,Palestine,Sharjah Private International School,Male,10,In-person,96,Music,Beginner,3D Designing,4
student 51,Gulf News - Game and App Development,Uruguay,GEMS Winchester School,Male,3,Hybrid,24,Sports,Proficiency,App Development,4
student 52,Scratch Coding,Pakistan,Carmel School Kuwait,Female,10,In-person,8,Art,Proficiency,Python,1
student 53,Gulf News - Data Analysis with Python,India,Ambassador International Academy,Male,10,In-person,8,Art,Beginner,Coding for kids,5
student 54,Game Development with Unity,Ireland,"GD Goenka Public School, Agra, India",Female,10,Hybrid,96,Science,Applied Tech,Python,5
student 55,Mid Term Program,Malaysia,Al Manar International school,Male,10,In-person,24,Sports,Intermediate,AI,5
student 56,3D Designing & Modelling,IndiaSpain,University of Wollongong,Male,10,Hybrid,48,Sports,Proficiency,Game Development,5
student 57,3D Designing & Modelling,Armenia,Victory Heights Primary School,Male,10,In-person,48,Science,Intermediate,3D Designing,4
student 58,Python Programming,Poland,Dubai English Speaking private college,Male,10,In-person,24,Mathematics,Proficiency,AI,1
student 59,Robotics Innovative Learning,Turkey,Mayoor Private school  abudhabi,Male,10,Online,24,Technology,Applied Tech,Technology Innovative Learning,5
student 60,FIRST LEGO LEAGUE (FLL - 2022/23),Bosnia and Herzegovina,Jumeirah English Speaking School (Br),Female,10,Online,24,Science,Proficiency,3D Designing,4
student 61,Metaverse,Korea,Al Watania,Female,10,Hybrid,96,Art,Intermediate,App Development,4
student 62,FIRST LEGO LEAGUE (FLL - 2022/23),India,Cambridge International School Private,Female,10,Hybrid,96,Science,Intermediate,Technology Innovative Learning,5
student 63,Gulf News - Game and App Development,Saudi Arabia,Apple International School,Male,4,Hybrid,24,Sports,Proficiency,Technology Innovative Learning,5
student 64,Graphic Designing & Animation,Poland,Advanced Learning Schools Riyadh,Female,10,In-person,24,Music,Applied Tech,Python,5
student 65,Technology Innovative Learning,USA,International school of Choueifat,Male,2,Online,96,Sports,Beginner,Game Development,3
student 66,FIRST LEGO LEAGUE (FLL - 2022/23),Armenia,BISES,Male,10,In-person,96,Science,Applied Tech,AI,5
student 67,Gulf News - Robotics Innovative Learning,Iran (Islamic Republic of),Al Naseem International School,Female,3,In-person,24,Sports,Applied Tech,Coding for kids,3
student 68,Metaverse,Srilanka,GEMS Wellington International School,Female,10,Online,48,Technology,Applied Tech,3D Designing,3
student 69,Robotics Innovative Learning,Canada,Belvedere British School,Female,10,In-person,96,Art,Proficiency,Technology Innovative Learning,4
student 70,Robotics Innovative Learning,India,Manipal Academy of Higher Education,Female,10,Online,48,Science,Intermediate,Coding for kids,4
student 71,Robotics Innovative Learning,Singapore,Al Basateen Private Nursery Hatta branch,Female,10,Online,48,Science,Proficiency,Game Development,5
student 72,Spring Camps,Pakistan,Alhussan International School,Female,10,Hybrid,96,Technology,Proficiency,AI,5
student 73,Artificial Intelligence,Egypt,Akg public school,Male,10,Online,48,Music,Intermediate,Game Development,4
student 74,Artificial Intelligence,Uganda,DAA,Male,10,Online,48,Mathematics,Proficiency,AI,4
student 75,Artificial Intelligence,Cook Islands,GEMS Wellington Academy,Female,10,Hybrid,48,Music,Beginner,Graphics Designing,1
student 76,LEGO Robotics,Bosnia and Herzegovina,Ambersrdm,Female,10,Online,48,Sports,Proficiency,AI,5
student 77,Space STEM,Nigeria,Crescent English School,Male,10,In-person,8,Technology,Beginner,AI,5
student 78,Robotics Innovative Learning,China,"DPS, Doha",Female,10,Online,48,Art,Proficiency,Robotics Innovative Learning,4
student 79,Mid Term Program,Nigeria,Millennium Sharjah,Female,10,In-person,48,Music,Intermediate,Robotics Innovative Learning,3
student 80,Python Coding,Nigeria,"Camp, Amity ( Al Nadha)",Female,10,In-person,48,Sports,Beginner,Coding for kids,5
student 81,Gulf News - Game and App Development,China,Al Khaleej National School,Female,2,In-person,96,Sports,Applied Tech,3D Designing,3
student 82,Mid Term Program,Cuba,Primus Private School LLC,Male,10,Hybrid,8,Mathematics,Proficiency,Graphics Designing,5
student 83,Artificial Intelligence,Canada,Al Maaref Private School (LLC),Female,10,Online,48,Mathematics,Applied Tech,AI,4
student 84,Gulf News - Artificial Intelligence,Cameroon,Cardiff international school / Qatar Finland I fee atop all school,Male,9,Hybrid,48,Science,Applied Tech,Graphics Designing,1
student 85,Mid Term Program,Iraq,Al majd international school,Male,10,Hybrid,24,Science,Beginner,AI,4
student 86,Robotics Innovative Learning,Switzerland,Merryland International School,Female,10,Online,24,Technology,Proficiency,Technology Innovative Learning,5
student 87,Robotics Innovative Learning,Srilanka,Regent International Private School,Female,10,In-person,96,Sports,Beginner,Technology Innovative Learning,1
student 88,Mid Term Program,Iran (Islamic Republic of),Ambassador International Academy,Female,10,Hybrid,48,Science,Intermediate,Robotics Innovative Learning,1
student 89,Mid Term Program,India,DPS,Female,10,Online,8,Mathematics,Intermediate,Graphics Designing,3
student 90,Robotics Innovative Learning,Switzerland,GEMS Wellington Academy (Branch),Female,10,In-person,96,Sports,Beginner,Game Development,1
student 91,3D Designing & Modelling,USA,Carmel School Kuwait,Female,10,Hybrid,48,Music,Applied Tech,Robotics Innovative Learning,5
student 92,Gulf News - Metaverse,Egypt,Ow qusm high school,Male,9,Online,24,Mathematics,Proficiency,3D Designing,1
student 93,Mid Term Program,Qatar,Al Adab Iranian Private School for Boys,Female,10,In-person,48,Science,Applied Tech,AI,1
student 94,Graphic Designing,Saudi Arabia,Al Manar International school,Male,10,Online,48,Technology,Proficiency,AI,5
student 95,Graphic Designing & Animation,United Arab Emirates,Saad ebn abi waqas,Male,10,In-person,24,Sports,Proficiency,Robotics Innovative Learning,3
student 96,Gulf News - Game and App Development,India,JSS PRIVATE SCHOOL LLC,Male,4,In-person,24,Art,Beginner,Technology Innovative Learning,1
student 97,Young Coder,Cuba,LLfp,Female,10,Hybrid,8,Music,Proficiency,AI,4
student 98,Gulf News - Robotics Innovative Learning,Iran (Islamic Republic of),Khawla bent al azwar,Male,4,Hybrid,8,Art,Applied Tech,Game Development,1
student 99,Spring Camps,Oman,Arcadia School,Male,10,Online,24,Art,Applied Tech,Robotics Innovative Learning,4
student 100,Gulf News - Robotics Innovative Learning,India,Al Ain English Speaking School,Male,KG 2,Hybrid,8,Music,Applied Tech,AI,4
student 101,Young Game Developer,United Arab Emirates,Dubai College,Male,10,In-person,48,Music,Applied Tech,App Development,3
student 102,Robotics Innovative Learning,United Arab Emirates,Al Adab Iranian Private School for Boys,Female,3,Online,48,Technology,Beginner,Robotics Innovative Learning,4
student 103,Graphic Designing,Armenia,Dubai Scholars Private School,Male,10,Online,24,Technology,Applied Tech,Robotics Innovative Learning,3
student 104,Mid Term Program,Cuba,GEMS Westminster,Female,10,In-person,48,Technology,Intermediate,Graphics Designing,4
student 105,Technology Onsite,India,Al Diyafah High School,Male,10,Online,48,Sports,Intermediate,Python,4
student 106,Artificial Intelligence,United Arab Emirates,Dubai Scholars Private School,Female,8,Hybrid,48,Science,Proficiency,App Development,4
student 107,Mid Term Program,Canada,ST laurence school Sallins,Female,10,Online,48,Mathematics,Proficiency,AI,1
student 108,Gulf News - Game and App Development,India,GEMS Wellington Academy,Female,4,Online,96,Technology,Applied Tech,3D Designing,4
student 109,Gulf News - Robotics Innovative Learning,IndiaSpain,Al Diyafah High School,Male,KG 2,Online,48,Sports,Proficiency,Technology Innovative Learning,4
student 110,Artificial Intelligence for Non Programmers,Pakistan,MAHE Dubai,Female,10,In-person,24,Sports,Proficiency,Game Development,5
student 111,Space STEM,United Arab Emirates,Apeejay school,Male,4,Online,48,Science,Beginner,AI,4
student 112,Robotics Innovative Learning,Korea,GEMS,Female,1,Online,24,Sports,Intermediate,3D Designing,1
student 113,Artificial Intelligence for Non Programmers,Iraq,Ambassador International Academy,Female,10,Hybrid,48,Science,Beginner,AI,3
student 114,STEM Jr,Pakistan,JSS PRIVATE SCHOOL,Male,10,In-person,48,Technology,Beginner,3D Designing,1
student 115,School,Malaysia,Arcadia School,Male,1,Hybrid,8,Sports,Applied Tech,Graphics Designing,4
student 116,School,Armenia,Arcadia School,Male,2,Hybrid,48,Music,Intermediate,App Development,4
student 117,School,UK,Arcadia School,Male,6,Online,24,Sports,Proficiency,Technology Innovative Learning,4
student 118,School,Canada,Arcadia School,Female,FS 2,Online,96,Technology,Intermediate,3D Designing,4
student 119,Robotics Innovative Learning,United Arab Emirates,Gulf Asian English school,Male,5,Hybrid,24,Science,Beginner,Game Development,3
student 120,School,Pakistan,Arcadia School,Female,2,Hybrid,48,Art,Proficiency,AI,1
student 121,School,Uruguay,Arcadia School,Female,1,Online,48,Music,Proficiency,Graphics Designing,4
student 122,School,Afghanistan,Arcadia School,Female,5,In-person,24,Art,Intermediate,Coding for kids,3
student 123,School,Qatar,Arcadia School,Female,2,Online,24,Music,Intermediate,Game Development,1
student 124,School,Pakistan,Arcadia School,Female,4,In-person,24,Technology,Proficiency,Robotics Innovative Learning,1
student 125,School,Nigeria,Arcadia School,Female,2,Hybrid,24,Music,Intermediate,Python,3
student 126,School,UK,Arcadia School,Female,2,Online,96,Mathematics,Beginner,Python,1
student 127,School,Ireland,Arcadia School,Male,FS 1,Online,24,Science,Intermediate,3D Designing,4
student 128,School,Korea,Arcadia School,Female,1,Online,48,Music,Beginner,3D Designing,3
student 129,School,Bahrain,Arcadia School,Female,5,In-person,24,Mathematics,Applied Tech,Technology Innovative Learning,4
student 130,School,Canada,Arcadia School,Female,2,Online,48,Mathematics,Proficiency,Graphics Designing,4
student 131,Robotics Innovative Learning,United Arab Emirates,Emirates International School (Meadows),Male,8,Online,48,Science,Proficiency,Game Development,4
student 132,Python Coding,United Arab Emirates,Dubai International Academy,Female,2,Online,24,Science,Proficiency,Python,4
student 133,Data Science,United Arab Emirates,Suncity school,Female,3,Online,48,Art,Beginner,Coding for kids,5
student 134,Python Coding,United Arab Emirates,Gems Wellington Academy Silicon Oasis,Male,1,In-person,48,Technology,Applied Tech,Graphics Designing,4
student 135,Space STEM,Canada,Al Ansar International School,Female,10,Hybrid,96,Music,Intermediate,Graphics Designing,5
student 136,Robotics Innovative Learning,United Arab Emirates,JSS PRIVATE SCHOOL,Female,1,Hybrid,48,Technology,Applied Tech,Coding for kids,4
student 137,Metaverse,Bahrain,GEMS Founders School,Female,Working Professional,In-person,8,Music,Proficiency,Game Development,1
student 138,Robotics Innovative Learning,Jordan,GEMS United School,Male,10,Online,48,Mathematics,Beginner,AI,4
student 139,Artificial Intelligence,Srilanka,"Millennium School, Shj",Male,10,Hybrid,8,Sports,Intermediate,Robotics Innovative Learning,4
student 140,Winter Camp 2022,Canada,Cambridge International School Private,Female,10,In-person,48,Mathematics,Applied Tech,3D Designing,1
student 141,Winter Camp 2022,India,Indian High School,Male,10,In-person,48,Music,Intermediate,AI,1
student 142,VEX Robotics Competition (VRC - 2023/24),United Arab Emirates,"GEMS Cambridge School, Sharjah",Female,9,Hybrid,48,Mathematics,Beginner,AI,5
student 143,VEX Robotics Competition (VRC - 2023/24),United Arab Emirates,"GEMS Cambridge School, Sharjah",Female,8,Hybrid,24,Science,Beginner,Technology Innovative Learning,4
student 144,LEGO Robotics,United Arab Emirates,Private,Male,10,In-person,48,Science,Applied Tech,Game Development,3
student 145,Python Programming,Venezuela,Father Agnel School,Female,10,Online,48,Music,Applied Tech,AI,3
student 146,Python Coding,Oman,Reach British School,Male,10,Online,48,Technology,Intermediate,Game Development,5
student 147,Technology Innovative Learning,Turkey,Summit International School,Female,KG 2,Hybrid,48,Technology,Beginner,AI,4
student 148,Artificial Intelligence,Venezuela,AL mawakeb school,Male,10,Online,96,Technology,Beginner,Coding for kids,3
student 149,Drone Technology,Korea,Al Ain English Speaking School,Female,10,Hybrid,48,Science,Applied Tech,AI,4
student 150,Summer Camp 2022,Nigeria,Vibgyor,Male,10,Online,24,Art,Beginner,Python,4
student 151,Robotics Innovative Learning,Kuwait,Dubai Scholars Private School,Male,10,In-person,96,Music,Beginner,App Development,5
student 152,Python Coding,Palestine,Army Public School,Female,10,Hybrid,24,Art,Beginner,Python,5
student 153,Coding For Kids,Iraq,Shaufa International School,Female,1,Hybrid,24,Sports,Proficiency,3D Designing,1
student 154,Robotics Innovative Learning,Cameroon,Raffles World Academy,Male,10,Online,48,Technology,Beginner,App Development,1
student 155,Robotics Innovative Learning,United Arab Emirates,Diyafah International School Abu Dhabi,Male,2,In-person,48,Technology,Proficiency,Graphics Designing,4
student 156,Drone Technology,Uganda,Al Basateen Private Nursery Hatta branch,Male,10,In-person,48,Mathematics,Applied Tech,AI,3
student 157,Robotics Innovative Learning,Oman,GEMS Millennium Sharjah,Male,10,Online,48,Mathematics,Applied Tech,Coding for kids,4
student 158,FIRST LEGO LEAGUE (FLL - 2022/23),United Arab Emirates,Sharjah Indian school,Female,10,Online,24,Art,Applied Tech,Python,1
student 159,3D Designing & Modelling,Kuwait,Cambridge International School,Male,10,Hybrid,48,Science,Proficiency,Graphics Designing,5
student 160,Technology Onsite,India,direct call,Male,5,In-person,24,Music,Beginner,AI,3
student 161,Technology Innovative Learning,China,direct call,Male,2,Hybrid,48,Science,Intermediate,Robotics Innovative Learning,5
student 162,Artificial Intelligence & Machine Learning,Jordan,AL mawakeb school,Female,10,In-person,24,Technology,Applied Tech,Game Development,5
student 163,Robotics Innovative Learning,Syria,Merryland International School,Female,10,Online,48,Music,Proficiency,Technology Innovative Learning,5
student 164,Robotics Innovative Learning,Russia,The university of texas at arlington,Male,10,In-person,24,Mathematics,Intermediate,AI,4
student 165,Robotics Innovative Learning,Pakistan,Kings College Doha,Female,10,Online,96,Art,Beginner,AI,5
student 166,Robotics Innovative Learning,United Arab Emirates,Repton Dubai,Female,FS 2,Online,24,Art,Intermediate,Technology Innovative Learning,3
student 167,Robotics Innovative Learning,United Arab Emirates,Kido,Female,10,In-person,24,Art,Proficiency,Graphics Designing,4
student 168,Python Programming,United Arab Emirates,Cardiff international school / Qatar Finland I fee atop all school,Male,6,Online,8,Science,Intermediate,Graphics Designing,4
student 169,Python Programming,UK,GEMS,Female,7,In-person,48,Music,Applied Tech,Robotics Innovative Learning,3
student 170,3D Designing & Modelling,UAE,gems our own english high school,Male,1,In-person,48,Technology,Proficiency,Robotics Innovative Learning,3
student 171,Artificial Intelligence for Non Programmers,Nigeria,Dubai International Academy,Male,10,Online,8,Science,Proficiency,AI,4
student 172,Robotics Innovative Learning,United Arab Emirates,DPS,Female,3,In-person,48,Sports,Applied Tech,Coding for kids,5
student 173,Robotics Innovative Learning,United States,Nadeen International,Male,10,Online,24,Mathematics,Intermediate,AI,3
student 174,Robotics Innovative Learning,Russia,Al majd international school,Female,10,Hybrid,48,Art,Proficiency,App Development,1
student 175,World Robot Olympiad (WRO),India,International Islamic School,Female,10,Hybrid,8,Sports,Applied Tech,Python,5
student 176,VEX IQ Competition (VIQC - 2022 / 23),Afghanistan,OOB sharjah,Female,10,In-person,48,Sports,Beginner,App Development,3
student 177,Artificial Intelligence,United States,Chinese school Dubai,Male,10,Online,48,Music,Applied Tech,App Development,1
student 178,World Robot Olympiad (WRO),Armenia,"GEMS Cambridge School, Sharjah",Male,10,Online,24,Mathematics,Beginner,Game Development,1
student 179,World Robot Olympiad (WRO),Bahrain,Horizon International School - LLC,Female,10,In-person,8,Science,Beginner,Game Development,5
student 180,Python Programming,Cuba,GEMS Wellington Academy,Male,10,Online,8,Technology,Proficiency,Graphics Designing,5
student 181,Robotics Innovative Learning,India,School Inb Al Haitham government school,Male,10,In-person,24,Sports,Applied Tech,Technology Innovative Learning,4
student 182,Space STEM,Bahrain,Hartland International School,Female,10,Hybrid,96,Mathematics,Applied Tech,Python,4
student 183,Python Programming,Canada,St marys icse,Male,10,Online,48,Sports,Proficiency,AI,4
student 184,Coding For Kids,China,GEHS,Female,10,Online,24,Mathematics,Applied Tech,App Development,3
student 185,Robotics Innovative Learning,Qatar,Lusk Community College,Female,10,In-person,24,Mathematics,Applied Tech,Game Development,1
student 186,Artificial Intelligence for Non Programmers,United Arab Emirates,IIS,Female,10,Hybrid,96,Technology,Beginner,App Development,4
student 187,Space STEM,China,Lotus Valley School Gurgaon,Male,10,Online,48,Science,Beginner,AI,3
student 188,FIRST LEGO LEAGUE (FLL - 2022/23),Cook Islands,The Alpha School LLC,Male,10,In-person,8,Mathematics,Intermediate,Robotics Innovative Learning,4
student 189,Winter Camp 2022,Ukraine,Arcadia High School,Female,10,In-person,24,Sports,Proficiency,3D Designing,5
student 190,Robotics Innovative Learning,Canada,Bahrain Indian School,Female,10,Hybrid,8,Science,Proficiency,App Development,3
student 191,Robotics Innovative Learning,Iraq,Al majd international school,Male,10,Online,48,Music,Intermediate,Robotics Innovative Learning,4
student 192,Summer Camp 2022,Cameroon,Gravi,Male,10,Hybrid,48,Science,Beginner,AI,5
student 193,FIRST LEGO LEAGUE (FLL - 2022/23),United Arab Emirates,Jumeirah English Speaking School,Male,10,Hybrid,48,Science,Applied Tech,Game Development,1
student 194,Python Coding,Canada,Shaufa International School,Male,11,Online,8,Science,Proficiency,Graphics Designing,4
student 195,Robotics Innovative Learning,Switzerland,GEMOOSH,Male,10,In-person,48,Technology,Intermediate,Game Development,5
student 196,Technology Onsite,India,Repton Dubai,Female,5,In-person,48,Technology,Beginner,Robotics Innovative Learning,4
student 197,Technology Onsite,India,Repton Dubai,Female,8,Hybrid,24,Mathematics,Applied Tech,App Development,5
student 198,Robotics Innovative Learning,Cameroon,"NES International school, mulund west",Male,10,Online,96,Art,Intermediate,App Development,5
student 199,Robotics Innovative Learning,Canada,Millennium School SHJ,Male,10,In-person,8,Music,Applied Tech,Coding for kids,4
student 200,ALIF Robotics Workshop,Russia,Dubai International Academy,Male,14-Oct,Hybrid,24,Sports,Proficiency,Robotics Innovative Learning,4
student 201,Winter Camp 2022,Kuwait,British school of Bahrain,Male,10,Online,48,Sports,Proficiency,Robotics Innovative Learning,4
student 202,Internet of Things,Oman,Not Specified,Female,10,Hybrid,8,Music,Intermediate,Technology Innovative Learning,5
student 203,Python Programming,Switzerland,Facebook,Female,10,In-person,24,Technology,Applied Tech,Game Development,4
student 204,LEGO Robotics,Kuwait,Nadeen International school,Female,10,In-person,48,Technology,Applied Tech,App Development,1
student 205,Winter Camp 2022,Singapore,Cbsd,Male,10,In-person,24,Music,Applied Tech,Coding for kids,4
student 206,Winter Camp 2022,United Kingdom,Mesty Croft Primary,Female,10,In-person,48,Mathematics,Applied Tech,Graphics Designing,4
student 207,Winter Camp 2022,Saudi Arabia,Global Indian International School L.L.C,Male,10,In-person,24,Art,Beginner,AI,5
student 208,Robotics Innovative Learning,Kuwait,Dubai Scholars Private School,Male,10,Hybrid,96,Sports,Proficiency,Game Development,5
student 209,Robotics Innovative Learning,Palestine,Al Eman Educational Est ( Al Eman private School ),Female,10,Hybrid,8,Mathematics,Intermediate,Game Development,4
student 210,Winter Camp 2022,Pakistan,"Indian Embassy School, Riyadh",Female,10,Hybrid,48,Science,Intermediate,Graphics Designing,4
student 211,Winter Camp 2022,United Arab Emirates,Al Naseem International School,Male,10,Hybrid,48,Mathematics,Proficiency,Robotics Innovative Learning,4
student 212,Winter Camp 2022,United States,ISGi,Male,10,In-person,24,Sports,Applied Tech,Graphics Designing,4
student 213,Winter Camp 2022,Cook Islands,Bahrain Indian School,Female,10,Hybrid,48,Art,Proficiency,AI,4
student 214,Artificial Intelligence,United States,other,Male,10,In-person,48,Science,Beginner,AI,4
student 215,Winter Camp 2022,Oman,International school of Choueifat,Female,10,Hybrid,48,Science,Beginner,AI,4
student 216,Winter Camp 2022,Russia,The Kindergarten Starters,Female,10,Online,8,Technology,Applied Tech,Technology Innovative Learning,3
student 217,Winter Camp 2022,Egypt,GEMS United School,Female,10,In-person,24,Technology,Intermediate,Robotics Innovative Learning,3
student 218,Winter Camp 2022,Cook Islands,Not Specified,Female,3,Hybrid,8,Sports,Applied Tech,3D Designing,4
student 219,Space STEM,USA,MSB Private School,Male,10,In-person,24,Music,Intermediate,AI,3
student 220,Winter Camp 2022,Iraq,GEMS Millenium School,Female,10,Hybrid,48,Science,Beginner,AI,4
student 221,Winter Camp 2022,Iraq,Oberoi International School,Female,10,Online,48,Mathematics,Proficiency,Python,5
student 222,Winter Camp 2022,United Arab Emirates,Al Salam Private School,Female,10,In-person,24,Sports,Proficiency,Robotics Innovative Learning,3
student 223,Winter Camp 2022,Srilanka,GEMS,Male,10,Hybrid,48,Music,Beginner,Python,3
student 224,Mid Term Program,Canada,American International School,Male,10,In-person,24,Mathematics,Beginner,Robotics Innovative Learning,3
student 225,Graphic Designing & Animation,Uruguay,Al Ashbal Intl School,Female,10,In-person,48,Mathematics,Applied Tech,Robotics Innovative Learning,1
student 226,LEGO Robotics,Egypt,GEMS Our Own English High School,Female,10,Online,24,Technology,Proficiency,Python,1
student 227,Young Innovator,India,Gravi,Male,9,In-person,24,Technology,Beginner,Graphics Designing,1
student 228,Winter Camp 2022,Qatar,Ils,Male,10,Online,48,Science,Beginner,Graphics Designing,4
student 229,Winter Camp 2022,New Zealand,Habitat School,Female,10,Online,8,Art,Applied Tech,AI,4
student 230,Winter Camp 2022,Egypt,Raha international school,Male,10,Online,24,Sports,Intermediate,Robotics Innovative Learning,5
student 231,Python Programming,Saudi Arabia,Private,Male,12,Online,24,Science,Beginner,Technology Innovative Learning,5
student 232,Winter Camp 2022,Iran (Islamic Republic of),SJCK Sin Ming,Male,10,Online,24,Science,Applied Tech,Python,4
student 233,Tech Innovator,KSA,Al Arqm Private School,Male,10,Online,8,Mathematics,Proficiency,3D Designing,5
student 234,Winter Camp 2022,Uganda,IIS,Female,10,Online,24,Science,Beginner,App Development,4
student 235,Winter Camp 2022,Cook Islands,Gems Wellington Academy Silicon Oasis,Female,10,In-person,8,Technology,Applied Tech,Python,5
student 236,Winter Camp 2022,Nigeria,GHIS,Male,10,In-person,48,Art,Applied Tech,AI,5
