student_id,student_name,age,nationality,education,school,field_of_interest,course_id,course_name,session,course_rating,difficulty_level,modes_of_learning
1298,student 70,14,India,High school/College (14+),Manipal Academy of Higher Education,Science,0,Robotics Innovative Learning,48,4,Intermediate,Online
2436,student 71,14,Singapore,High school/College (14+),Al Basateen Private Nursery Hatta branch,Science,0,Robotics Innovative Learning,48,5,Proficiency,Online
601,student 72,14,Pakistan,High school/College (14+),Alhussan International School,Technology,1,Robotics,96,5,Proficiency,Hybrid
2364,student 73,14,Egypt,High school/College (14+),Akg public school,Music,3,Artificial Intelligence,48,4,Intermediate,Online
2062,student 74,14,Uganda,High school/College (14+),DAA,Mathematics,3,Artificial Intelligence,48,4,Proficiency,Online
242,student 75,14,Cook Islands,High school/College (14+),GEMS Wellington Academy,Music,3,Artificial Intelligence,48,1,Beginner,Hybrid
2042,student 76,14,Bosnia and Herzegovina,High school/College (14+),Ambersrdm,Sports,10,LEGO Robotics,48,5,Proficiency,Online
2825,student 77,14,Nigeria,High school/College (14+),Crescent English School,Technology,1,Robotics,8,5,Beginner,In-person
3418,student 78,14,China,High school/College (14+),"DPS, Doha",Art,0,Robotics Innovative Learning,48,4,Proficiency,Online
2613,student 79,14,Nigeria,High school/College (14+),Millennium Sharjah,Music,3,Artificial Intelligence,48,3,Intermediate,In-person
2946,student 80,14,Nigeria,High school/College (14+),"Camp, Amity ( Al Nadha)",Sports,2,Python Programming,48,5,Beginner,In-person
1364,student 81,6,China,Elementary school (5-9),Al Khaleej National School,Sports,5,Game and App Development,96,3,Applied Tech,In-person
2140,student 82,14,Cuba,High school/College (14+),Primus Private School LLC,Mathematics,3,Artificial Intelligence,8,5,Proficiency,Hybrid
1391,student 83,14,Canada,High school/College (14+),Al Maaref Private School (LLC),Mathematics,3,Artificial Intelligence,48,4,Applied Tech,Online
3004,student 84,13,Cameroon,Middle school (10-13),Cardiff international school / Qatar Finland I fee atop all school,Science,3,Artificial Intelligence,48,1,Applied Tech,Hybrid
1479,student 85,14,Iraq,High school/College (14+),Al majd international school,Science,3,Artificial Intelligence,24,4,Beginner,Hybrid
3500,student 86,14,Switzerland,High school/College (14+),Merryland International School,Technology,0,Robotics Innovative Learning,24,5,Proficiency,Online
2557,student 87,14,Srilanka,High school/College (14+),Regent International Private School,Sports,0,Robotics Innovative Learning,96,1,Beginner,In-person
776,student 88,14,Iran (Islamic Republic of),High school/College (14+),Ambassador International Academy,Science,3,Artificial Intelligence,48,1,Intermediate,Hybrid
35,student 89,14,India,High school/College (14+),DPS,Mathematics,3,Artificial Intelligence,8,3,Intermediate,Online
2254,student 90,14,Switzerland,High school/College (14+),GEMS Wellington Academy (Branch),Sports,0,Robotics Innovative Learning,96,1,Beginner,In-person
3153,student 91,14,USA,High school/College (14+),Carmel School Kuwait,Music,16,3D Designing & Modelling,48,5,Applied Tech,Hybrid
1956,student 92,13,Egypt,Middle school (10-13),Ow qusm high school,Mathematics,7,Virtual Reality,24,1,Proficiency,Online
1586,student 93,14,Qatar,High school/College (14+),Al Adab Iranian Private School for Boys,Science,3,Artificial Intelligence,48,1,Applied Tech,In-person
3944,student 94,14,Saudi Arabia,High school/College (14+),Al Manar International school,Technology,17,Graphic Designing,48,5,Proficiency,Online
3460,student 95,14,United Arab Emirates,High school/College (14+),Saad ebn abi waqas,Sports,6,Graphic Designing & Animation,24,3,Proficiency,In-person
3074,student 96,8,India,Elementary school (5-9),JSS PRIVATE SCHOOL LLC,Art,5,Game and App Development,24,1,Beginner,In-person
1022,student 97,14,Cuba,High school/College (14+),LLfp,Music,18,Young Coder,8,4,Proficiency,Hybrid
3462,student 98,8,Iran (Islamic Republic of),Elementary school (5-9),Khawla bent al azwar,Art,0,Robotics Innovative Learning,8,1,Applied Tech,Hybrid
2614,student 99,14,Oman,High school/College (14+),Arcadia School,Art,1,Robotics,24,4,Applied Tech,Online
1130,student 100,6,India,Elementary school (5-9),Al Ain English Speaking School,Music,0,Robotics Innovative Learning,8,4,Applied Tech,Hybrid
3844,student 101,14,United Arab Emirates,High school/College (14+),Dubai College,Music,19,Young Game Developer,48,3,Applied Tech,In-person
3894,student 102,7,United Arab Emirates,Elementary school (5-9),Al Adab Iranian Private School for Boys,Technology,0,Robotics Innovative Learning,48,4,Beginner,Online
1501,student 103,14,Armenia,High school/College (14+),Dubai Scholars Private School,Technology,17,Graphic Designing,24,3,Applied Tech,Online
703,student 104,14,Cuba,High school/College (14+),GEMS Westminster,Technology,3,Artificial Intelligence,48,4,Intermediate,In-person
2450,student 106,12,United Arab Emirates,Middle school (10-13),Dubai Scholars Private School,Science,3,Artificial Intelligence,48,4,Proficiency,Hybrid
2778,student 107,14,Canada,High school/College (14+),ST laurence school Sallins,Mathematics,3,Artificial Intelligence,48,1,Proficiency,Online
1580,student 108,8,India,Elementary school (5-9),GEMS Wellington Academy,Technology,5,Game and App Development,96,4,Applied Tech,Online
162,student 109,6,IndiaSpain,Elementary school (5-9),Al Diyafah High School,Sports,0,Robotics Innovative Learning,48,4,Proficiency,Online
202,student 110,14,Pakistan,High school/College (14+),MAHE Dubai,Sports,9,Artificial Intelligence for Non Programmers,24,5,Proficiency,In-person
1982,student 111,8,United Arab Emirates,Elementary school (5-9),Apeejay school,Science,1,Robotics,48,4,Beginner,Online
996,student 112,5,Korea,Elementary school (5-9),GEMS,Sports,0,Robotics Innovative Learning,24,1,Intermediate,Online
2318,student 113,14,Iraq,High school/College (14+),Ambassador International Academy,Science,9,Artificial Intelligence for Non Programmers,48,3,Beginner,Hybrid
3935,student 114,14,Pakistan,High school/College (14+),JSS PRIVATE SCHOOL,Technology,1,Robotics,48,1,Beginner,In-person
816,student 115,5,Malaysia,Elementary school (5-9),Arcadia School,Sports,1,Robotics,8,4,Applied Tech,Hybrid
3343,student 116,6,Armenia,Elementary school (5-9),Arcadia School,Music,1,Robotics,48,4,Intermediate,Hybrid
456,student 117,10,UK,Middle school (10-13),Arcadia School,Sports,1,Robotics,24,4,Proficiency,Online
3534,student 118,6,Canada,Elementary school (5-9),Arcadia School,Technology,1,Robotics,96,4,Intermediate,Online
3799,student 119,9,United Arab Emirates,Elementary school (5-9),Gulf Asian English school,Science,0,Robotics Innovative Learning,24,3,Beginner,Hybrid
1276,student 120,6,Pakistan,Elementary school (5-9),Arcadia School,Art,1,Robotics,48,1,Proficiency,Hybrid
1017,student 121,5,Uruguay,Elementary school (5-9),Arcadia School,Music,1,Robotics,48,4,Proficiency,Online
3774,student 122,9,Afghanistan,Elementary school (5-9),Arcadia School,Art,1,Robotics,24,3,Intermediate,In-person
2344,student 123,6,Qatar,Elementary school (5-9),Arcadia School,Music,1,Robotics,24,1,Intermediate,Online
3797,student 124,8,Pakistan,Elementary school (5-9),Arcadia School,Technology,1,Robotics,24,1,Proficiency,In-person
2768,student 125,6,Nigeria,Elementary school (5-9),Arcadia School,Music,1,Robotics,24,3,Intermediate,Hybrid
3821,student 126,6,UK,Elementary school (5-9),Arcadia School,Mathematics,1,Robotics,96,1,Beginner,Online
338,student 127,5,Ireland,Elementary school (5-9),Arcadia School,Science,1,Robotics,24,4,Intermediate,Online
879,student 128,5,Korea,Elementary school (5-9),Arcadia School,Music,1,Robotics,48,3,Beginner,Online
1077,student 129,9,Bahrain,Elementary school (5-9),Arcadia School,Mathematics,1,Robotics,24,4,Applied Tech,In-person
792,student 130,6,Canada,Elementary school (5-9),Arcadia School,Mathematics,1,Robotics,48,4,Proficiency,Online
3994,student 131,12,United Arab Emirates,Middle school (10-13),Emirates International School (Meadows),Science,0,Robotics Innovative Learning,48,4,Proficiency,Online
2265,student 132,6,United Arab Emirates,Elementary school (5-9),Dubai International Academy,Science,2,Python Programming,24,4,Proficiency,Online
764,student 133,7,United Arab Emirates,Elementary school (5-9),Suncity school,Art,20,Data Science,48,5,Beginner,Online
2236,student 134,5,United Arab Emirates,Elementary school (5-9),Gems Wellington Academy Silicon Oasis,Technology,2,Python Programming,48,4,Applied Tech,In-person
380,student 135,14,Canada,High school/College (14+),Al Ansar International School,Music,1,Robotics,96,5,Intermediate,Hybrid
493,student 136,5,United Arab Emirates,Elementary school (5-9),JSS PRIVATE SCHOOL,Technology,0,Robotics Innovative Learning,48,4,Applied Tech,Hybrid
3113,student 137,16,Bahrain,High school/College (14+),GEMS Founders School,Music,7,Virtual Reality,8,1,Proficiency,In-person
1181,student 138,14,Jordan,High school/College (14+),GEMS United School,Mathematics,0,Robotics Innovative Learning,48,4,Beginner,Online
2063,student 139,14,Srilanka,High school/College (14+),"Millennium School, Shj",Sports,3,Artificial Intelligence,8,4,Intermediate,Hybrid
3885,student 140,14,Canada,High school/College (14+),Cambridge International School Private,Mathematics,1,Robotics,48,1,Applied Tech,In-person
65,student 141,14,India,High school/College (14+),Indian High School,Music,1,Robotics,48,1,Intermediate,In-person
3929,student 142,13,United Arab Emirates,Middle school (10-13),"GEMS Cambridge School, Sharjah",Mathematics,21,Virtual Robotics,48,5,Beginner,Hybrid
3911,student 143,12,United Arab Emirates,Middle school (10-13),"GEMS Cambridge School, Sharjah",Science,21,Virtual Robotics,24,4,Beginner,Hybrid
2569,student 144,14,United Arab Emirates,High school/College (14+),Private,Science,10,LEGO Robotics,48,3,Applied Tech,In-person
1368,student 145,14,Venezuela,High school/College (14+),Father Agnel School,Music,2,Python Programming,48,3,Applied Tech,Online
1153,student 146,14,Oman,High school/College (14+),Reach British School,Technology,2,Python Programming,48,5,Intermediate,Online
2028,student 147,6,Turkey,Elementary school (5-9),Summit International School,Technology,4,Technology Innovative Learning,48,4,Beginner,Hybrid
2696,student 148,14,Venezuela,High school/College (14+),AL mawakeb school,Technology,3,Artificial Intelligence,96,3,Beginner,Online
1496,student 149,14,Korea,High school/College (14+),Al Ain English Speaking School,Science,8,Drone Technology,48,4,Applied Tech,Hybrid
3135,student 150,14,Nigeria,High school/College (14+),Vibgyor,Art,1,Robotics,24,4,Beginner,Online
1163,student 151,14,Kuwait,High school/College (14+),Dubai Scholars Private School,Music,0,Robotics Innovative Learning,96,5,Beginner,In-person
1523,student 152,14,Palestine,High school/College (14+),Army Public School,Art,2,Python Programming,24,5,Beginner,Hybrid
2641,student 153,5,Iraq,Elementary school (5-9),Shaufa International School,Sports,22,Coding For Kids,24,1,Proficiency,Hybrid
392,student 154,14,Cameroon,High school/College (14+),Raffles World Academy,Technology,0,Robotics Innovative Learning,48,1,Beginner,Online
1699,student 155,6,United Arab Emirates,Elementary school (5-9),Diyafah International School Abu Dhabi,Technology,0,Robotics Innovative Learning,48,4,Proficiency,In-person
419,student 156,14,Uganda,High school/College (14+),Al Basateen Private Nursery Hatta branch,Mathematics,8,Drone Technology,48,3,Applied Tech,In-person
2337,student 157,14,Oman,High school/College (14+),GEMS Millennium Sharjah,Mathematics,0,Robotics Innovative Learning,48,4,Applied Tech,Online
379,student 158,14,United Arab Emirates,High school/College (14+),Sharjah Indian school,Art,10,LEGO Robotics,24,1,Applied Tech,Online
1797,student 159,14,Kuwait,High school/College (14+),Cambridge International School,Science,16,3D Designing & Modelling,48,5,Proficiency,Hybrid
3562,student 161,6,China,Elementary school (5-9),direct call,Science,4,Technology Innovative Learning,48,5,Intermediate,Hybrid
2279,student 162,14,Jordan,High school/College (14+),AL mawakeb school,Technology,23,Artificial Intelligence and Machine Learning,24,5,Applied Tech,In-person
3066,student 163,14,Syria,High school/College (14+),Merryland International School,Music,0,Robotics Innovative Learning,48,5,Proficiency,Online
2089,student 164,14,Russia,High school/College (14+),The university of texas at arlington,Mathematics,0,Robotics Innovative Learning,24,4,Intermediate,In-person
3100,student 165,14,Pakistan,High school/College (14+),Kings College Doha,Art,0,Robotics Innovative Learning,96,5,Beginner,Online
2183,student 166,6,United Arab Emirates,Elementary school (5-9),Repton Dubai,Art,0,Robotics Innovative Learning,24,3,Intermediate,Online
201,student 167,14,United Arab Emirates,High school/College (14+),Kido,Art,0,Robotics Innovative Learning,24,4,Proficiency,In-person
1864,student 168,10,United Arab Emirates,Middle school (10-13),Cardiff international school / Qatar Finland I fee atop all school,Science,2,Python Programming,8,4,Intermediate,Online
780,student 169,11,UK,Middle school (10-13),GEMS,Music,2,Python Programming,48,3,Applied Tech,In-person
2978,student 170,5,UAE,Elementary school (5-9),gems our own english high school,Technology,16,3D Designing & Modelling,48,3,Proficiency,In-person
3105,student 171,14,Nigeria,High school/College (14+),Dubai International Academy,Science,9,Artificial Intelligence for Non Programmers,8,4,Proficiency,Online
3120,student 172,7,United Arab Emirates,Elementary school (5-9),DPS,Sports,0,Robotics Innovative Learning,48,5,Applied Tech,In-person
503,student 173,14,United States,High school/College (14+),Nadeen International,Mathematics,0,Robotics Innovative Learning,24,3,Intermediate,Online
2455,student 174,14,Russia,High school/College (14+),Al majd international school,Art,0,Robotics Innovative Learning,48,1,Proficiency,Hybrid
3646,student 176,14,Afghanistan,High school/College (14+),OOB sharjah,Sports,21,Virtual Robotics,48,3,Beginner,In-person
1752,student 177,14,United States,High school/College (14+),Chinese school Dubai,Music,3,Artificial Intelligence,48,1,Applied Tech,Online
805,student 180,14,Cuba,High school/College (14+),GEMS Wellington Academy,Technology,2,Python Programming,8,5,Proficiency,Online
2147,student 181,14,India,High school/College (14+),School Inb Al Haitham government school,Sports,0,Robotics Innovative Learning,24,4,Applied Tech,In-person
2732,student 182,14,Bahrain,High school/College (14+),Hartland International School,Mathematics,1,Robotics,96,4,Applied Tech,Hybrid
1896,student 183,14,Canada,High school/College (14+),St marys icse,Sports,2,Python Programming,48,4,Proficiency,Online
2774,student 184,14,China,High school/College (14+),GEHS,Mathematics,22,Coding For Kids,24,3,Applied Tech,Online
1571,student 185,14,Qatar,High school/College (14+),Lusk Community College,Mathematics,0,Robotics Innovative Learning,24,1,Applied Tech,In-person
961,student 186,14,United Arab Emirates,High school/College (14+),IIS,Technology,9,Artificial Intelligence for Non Programmers,96,4,Beginner,Hybrid
3811,student 187,14,China,High school/College (14+),Lotus Valley School Gurgaon,Science,1,Robotics,48,3,Beginner,Online
2661,student 188,14,Cook Islands,High school/College (14+),The Alpha School LLC,Mathematics,10,LEGO Robotics,8,4,Intermediate,In-person
1486,student 189,14,Ukraine,High school/College (14+),Arcadia High School,Sports,1,Robotics,24,5,Proficiency,In-person
2691,student 190,14,Canada,High school/College (14+),Bahrain Indian School,Science,0,Robotics Innovative Learning,8,3,Proficiency,Hybrid
3841,student 191,14,Iraq,High school/College (14+),Al majd international school,Music,0,Robotics Innovative Learning,48,4,Intermediate,Online
1029,student 192,14,Cameroon,High school/College (14+),Gravi,Science,1,Robotics,48,5,Beginner,Hybrid
3290,student 193,14,United Arab Emirates,High school/College (14+),Jumeirah English Speaking School,Science,10,LEGO Robotics,48,1,Applied Tech,Hybrid
503,student 194,15,Canada,High school/College (14+),Shaufa International School,Science,2,Python Programming,8,4,Proficiency,Online
2815,student 195,14,Switzerland,High school/College (14+),GEMOOSH,Technology,0,Robotics Innovative Learning,48,5,Intermediate,In-person
398,student 198,14,Cameroon,High school/College (14+),"NES International school, mulund west",Art,0,Robotics Innovative Learning,96,5,Intermediate,Online
871,student 199,14,Canada,High school/College (14+),Millennium School SHJ,Music,0,Robotics Innovative Learning,8,4,Applied Tech,In-person
2843,student 201,14,Kuwait,High school/College (14+),British school of Bahrain,Sports,1,Robotics,48,4,Proficiency,Online
393,student 202,14,Oman,High school/College (14+),Not Specified,Music,24,Internet of Things,8,5,Intermediate,Hybrid
207,student 203,14,Switzerland,High school/College (14+),Facebook,Technology,2,Python Programming,24,4,Applied Tech,In-person
1039,student 204,14,Kuwait,High school/College (14+),Nadeen International school,Technology,10,LEGO Robotics,48,1,Applied Tech,In-person
1882,student 205,14,Singapore,High school/College (14+),Cbsd,Music,1,Robotics,24,4,Applied Tech,In-person
3626,student 206,14,United Kingdom,High school/College (14+),Mesty Croft Primary,Mathematics,1,Robotics,48,4,Applied Tech,In-person
2940,student 207,14,Saudi Arabia,High school/College (14+),Global Indian International School L.L.C,Art,1,Robotics,24,5,Beginner,In-person
1485,student 208,14,Kuwait,High school/College (14+),Dubai Scholars Private School,Sports,0,Robotics Innovative Learning,96,5,Proficiency,Hybrid
3763,student 209,14,Palestine,High school/College (14+),Al Eman Educational Est ( Al Eman private School ),Mathematics,0,Robotics Innovative Learning,8,4,Intermediate,Hybrid
3647,student 210,14,Pakistan,High school/College (14+),"Indian Embassy School, Riyadh",Science,1,Robotics,48,4,Intermediate,Hybrid
864,student 211,14,United Arab Emirates,High school/College (14+),Al Naseem International School,Mathematics,1,Robotics,48,4,Proficiency,Hybrid
2791,student 212,14,United States,High school/College (14+),ISGi,Sports,1,Robotics,24,4,Applied Tech,In-person
3313,student 213,14,Cook Islands,High school/College (14+),Bahrain Indian School,Art,1,Robotics,48,4,Proficiency,Hybrid
564,student 214,14,United States,High school/College (14+),other,Science,3,Artificial Intelligence,48,4,Beginner,In-person
1021,student 215,14,Oman,High school/College (14+),International school of Choueifat,Science,1,Robotics,48,4,Beginner,Hybrid
96,student 216,14,Russia,High school/College (14+),The Kindergarten Starters,Technology,1,Robotics,8,3,Applied Tech,Online
1924,student 217,14,Egypt,High school/College (14+),GEMS United School,Technology,1,Robotics,24,3,Intermediate,In-person
1758,student 218,7,Cook Islands,Elementary school (5-9),Not Specified,Sports,1,Robotics,8,4,Applied Tech,Hybrid
2533,student 219,14,USA,High school/College (14+),MSB Private School,Music,1,Robotics,24,3,Intermediate,In-person
3479,student 220,14,Iraq,High school/College (14+),GEMS Millenium School,Science,1,Robotics,48,4,Beginner,Hybrid
2279,student 221,14,Iraq,High school/College (14+),Oberoi International School,Mathematics,1,Robotics,48,5,Proficiency,Online
2797,student 222,14,United Arab Emirates,High school/College (14+),Al Salam Private School,Sports,1,Robotics,24,3,Proficiency,In-person
1679,student 223,14,Srilanka,High school/College (14+),GEMS,Music,1,Robotics,48,3,Beginner,Hybrid
3243,student 224,14,Canada,High school/College (14+),American International School,Mathematics,3,Artificial Intelligence,24,3,Beginner,In-person
541,student 225,14,Uruguay,High school/College (14+),Al Ashbal Intl School,Mathematics,6,Graphic Designing & Animation,48,1,Applied Tech,In-person
1060,student 226,14,Egypt,High school/College (14+),GEMS Our Own English High School,Technology,10,LEGO Robotics,24,1,Proficiency,Online
2573,student 227,13,India,Middle school (10-13),Gravi,Technology,25,Young Innovator,24,1,Beginner,In-person
1184,student 228,14,Qatar,High school/College (14+),Ils,Science,1,Robotics,48,4,Beginner,Online
3911,student 229,14,New Zealand,High school/College (14+),Habitat School,Art,1,Robotics,8,4,Applied Tech,Online
1723,student 230,14,Egypt,High school/College (14+),Raha international school,Sports,1,Robotics,24,5,Intermediate,Online
3315,student 231,16,Saudi Arabia,High school/College (14+),Private,Science,2,Python Programming,24,5,Beginner,Online
3158,student 232,14,Iran (Islamic Republic of),High school/College (14+),SJCK Sin Ming,Science,1,Robotics,24,4,Applied Tech,Online
1820,student 234,14,Uganda,High school/College (14+),IIS,Science,1,Robotics,24,4,Beginner,Online
2626,student 235,14,Cook Islands,High school/College (14+),Gems Wellington Academy Silicon Oasis,Technology,1,Robotics,8,5,Applied Tech,In-person
2730,student 236,14,Nigeria,High school/College (14+),GHIS,Art,1,Robotics,48,5,Applied Tech,In-person
2605,student 237,14,Taiwan,High school/College (14+),St marys icse,Music,1,Robotics,24,3,Intermediate,Hybrid
1598,student 238,14,UAE,High school/College (14+),Father Agnel School,Art,21,Virtual Robotics,24,5,Intermediate,In-person
3061,student 239,14,India,High school/College (14+),KES,Technology,1,Robotics,48,4,Intermediate,In-person
2694,student 240,14,Turkey,High school/College (14+),Father Agnel School,Art,6,Graphic Designing & Animation,24,5,Proficiency,Hybrid
